method,accuracy,n_labeled,n_pseudo,duration_s,mem_usage_kb
ebsa_ResNet,0.09777777777777778,500,450,34.98859906196594,96419840
GFHF_kNN_ResNet,0.10444444444444445,50,0,2.690985918045044,0
GFHF_eps_ResNet,0.06444444444444444,50,0,2.5661559104919434,0
GFHF_anchor_ResNet,0.10222222222222223,50,0,2.6391539573669434,0
Poisson_kNN_ResNet,0.10222222222222223,50,0,2.6373629570007324,8257536
Poisson_eps_ResNet,0.10222222222222223,50,0,2.627568006515503,16384
Poisson_anchor_ResNet,0.10222222222222223,50,0,2.7574257850646973,131072
